,Unnamed: 0,Unnamed: 0_x,sentence,focus,episode,filename,tokens,stemmed_tokens,norm_tokens,token_count,sentiment,focus_split,characterName,actor_name,appearances,character_name,position,posting,rank,species,character_name_split,Unnamed: 0_y,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index,EngageCount
73548,73548,20305,"(hits combadge) mister mcdowell, set course for gardius four and engage at brossmer suddenly interrupts with an urgent message.",picard,123.0,224.txt,"['hits', 'combadge', 'Mister', 'McDowell', 'set', 'course', 'Gardius', 'Four', 'engage', 'Brossmer', 'suddenly', 'interrupts', 'urgent', 'message']","['hit', 'combadg', 'Mister', 'McDowel', 'set', 'cours', 'Gardiu', 'Four', 'engag', 'Brossmer', 'suddenli', 'interrupt', 'urgent', 'messag']","['hit', 'combadg', 'Mister', 'McDowel', 'set', 'cours', 'Gardiu', 'Four', 'engag', 'Brossmer', 'suddenli', 'interrupt', 'urgent', 'messag']",14.0,-0.1531,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",24,124,24,"""The Next Phase""",45892.4,David Carson,Ronald D. Moore,"May?18,?1992?(1992-05-18)",11.7[6],123,1
74109,74109,107642,"(urgent) no, captain wait (simultaneously) don't do it, sir but brossmer interrupts picard before he can say ""engage."" captain.",geordi ro brossmer,123.0,224.txt,"['urgent', 'No', 'Captain', 'wait', 'simultaneously', 'Dont', 'sir', 'But', 'Brossmer', 'interrupts', 'Picard', 'say', 'Engage', 'Captain']","['urgent', 'No', 'Captain', 'wait', 'simultan', 'Dont', 'sir', 'But', 'Brossmer', 'interrupt', 'Picard', 'say', 'Engag', 'Captain']","['urgent', 'No', 'Captain', 'wait', 'simultan', 'Dont', 'sir', 'But', 'Brossmer', 'interrupt', 'Picard', 'say', 'Engag', 'Captain']",14.0,-0.4215,"['geordi', 'ro']",ro laren,Michelle Forbes,['TNG'],ro laren,Helmsman (S5-7),USS Enterprise-D,['Lieutenant'],Bajoran,"['ro', 'laren']",24,124,24,"""The Next Phase""",45892.4,David Carson,Ronald D. Moore,"May?18,?1992?(1992-05-18)",11.7[6],123,1
74111,74111,107644,mister data believes we shouldn't engage the warp drive until i've cleared all the chroniton fields from the ship.,geordi ro brossmer,123.0,224.txt,"['Mister', 'Data', 'believes', 'shouldnt', 'engage', 'warp', 'drive', 'Ive', 'cleared', 'chroniton', 'fields', 'ship']","['Mister', 'Data', 'believ', 'shouldnt', 'engag', 'warp', 'drive', 'Ive', 'clear', 'chroniton', 'field', 'ship']","['Mister', 'Data', 'believ', 'shouldnt', 'engag', 'warp', 'drive', 'Ive', 'clear', 'chroniton', 'field', 'ship']",12.0,0.3818,"['geordi', 'ro']",ro laren,Michelle Forbes,['TNG'],ro laren,Helmsman (S5-7),USS Enterprise-D,['Lieutenant'],Bajoran,"['ro', 'laren']",24,124,24,"""The Next Phase""",45892.4,David Carson,Ronald D. Moore,"May?18,?1992?(1992-05-18)",11.7[6],123,1
79239,79239,21276,lay in a course and prepare to engage at warp eight once we're aboard.,picard,132.0,233.txt,"['Lay', 'course', 'prepare', 'engage', 'Warp', 'eight', 'aboard']","['Lay', 'cours', 'prepar', 'engag', 'Warp', 'eight', 'aboard']","['Lay', 'cours', 'prepar', 'engag', 'Warp', 'eight', 'aboard']",7.0,0.0258,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",7,133,7,"""Rascals""",46235.7,Adam Nimoy,Teleplay: Allison Hock Story: Ward Botsford & Diana Dru Botsford and Michael Piller,"November?2,?1992?(1992-11-02)",13.5[7],132,1
81774,81774,37770,(to con officer) set course three five zero mark two one five and engage at warp eight point five ,data,136.0,237.txt,"['Con', 'Officer', 'Set', 'course', 'three', 'five', 'zero', 'mark', 'two', 'one', 'five', 'engage', 'warp', 'eight', 'point', 'five']","['Con', 'Offic', 'Set', 'cours', 'three', 'five', 'zero', 'mark', 'two', 'one', 'five', 'engag', 'warp', 'eight', 'point', 'five']","['Con', 'Offic', 'Set', 'cours', 'three', 'five', 'zero', 'mark', 'two', 'one', 'five', 'engag', 'warp', 'eight', 'point', 'five']",16.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],11,137,11,"""Chain of Command, Part II""",46360.8,Les Landau,Frank Abatemarco,"December?21,?1992?(1992-12-21)",12.9[7],136,1
83421,83421,47496,"(scrambling) commander, we cannot risk an engagement here.",troi,139.0,240.txt,"['scrambling', 'Commander', 'cannot', 'risk', 'engagement']","['scrambl', 'Command', 'cannot', 'risk', 'engag']","['scrambl', 'Command', 'cannot', 'risk', 'engag']",5.0,0.2057,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",14,140,14,"""Face of the Enemy""",46519.1,Gabrielle Beaumont,Teleplay: Naren Shankar Story: Ren? Echevarria,"February?8,?1993?(1993-02-08)",13.1[7],139,1
84982,84982,56071,"they face off, as if a silent battle is engaged.",worf,142.0,243.txt,"['They', 'face', 'silent', 'battle', 'engaged']","['They', 'face', 'silent', 'battl', 'engag']","['They', 'face', 'silent', 'battl', 'engag']",5.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],17,143,17,"""Birthright, Part II""",46579.2,Dan Curry,Ren? Echevarria,"March?1,?1993?(1993-03-01)",13.4[7],142,1
90723,90723,24097,(to con) lay in that course and engage at full impulse.,picard,151.0,252.txt,"['Con', 'Lay', 'course', 'engage', 'full', 'impulse']","['Con', 'Lay', 'cours', 'engag', 'full', 'impuls']","['Con', 'Lay', 'cours', 'engag', 'full', 'impuls']",6.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",26,152,26,"""Descent, Part I""",46982.1,Alexander Singer,Teleplay: Ronald D. Moore Story: Jeri Taylor,"June?21,?1993?(1993-06-21)",11.7[7],151,1
91047,91047,73550,(to con) lay in a course and engage at warp nine.,riker,151.0,252.txt,"['Con', 'Lay', 'course', 'engage', 'warp', 'nine']","['Con', 'Lay', 'cours', 'engag', 'warp', 'nine']","['Con', 'Lay', 'cours', 'engag', 'warp', 'nine']",6.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",26,152,26,"""Descent, Part I""",46982.1,Alexander Singer,Teleplay: Ronald D. Moore Story: Jeri Taylor,"June?21,?1993?(1993-06-21)",11.7[7],151,1
91623,91623,84752,hold on there is a sudden forward lurch as the thrusters engage and we drop out of warp.,beverly,152.0,253.txt,"['Hold', 'There', 'sudden', 'forward', 'lurch', 'thrusters', 'engage', 'drop', 'warp']","['Hold', 'There', 'sudden', 'forward', 'lurch', 'thruster', 'engag', 'drop', 'warp']","['Hold', 'There', 'sudden', 'forward', 'lurch', 'thruster', 'engag', 'drop', 'warp']",9.0,-0.2732,['beverly'],beverly crusher,Gates McFadden,"['TNG', 'GEN,FCT,INS,NEM']",beverly crusher,Head of Starfleet Medical (S2),USS Enterprise-E,['Commander'],Human,"['beverly', 'crusher']",1,153,1,"""Descent, Part II""",47025.4,Alexander Singer,Ren? Echevarria,"September?20,?1993?(1993-09-20)",13.0[8],152,1
92365,92365,48100,"(continuing) we have over a thousand people on board, engaged in all facets of the ship's loquel holds out the drink to troi.",troi,153.0,254.txt,"['continuing', 'We', 'thousand', 'people', 'board', 'engaged', 'facets', 'ships', 'Loquel', 'holds', 'drink', 'Troi']","['continu', 'We', 'thousand', 'peopl', 'board', 'engag', 'facet', 'ship', 'Loquel', 'hold', 'drink', 'Troi']","['continu', 'We', 'thousand', 'peopl', 'board', 'engag', 'facet', 'ship', 'Loquel', 'hold', 'drink', 'Troi']",12.0,0.0,['troi'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",2,154,2,"""Liaisons""",Unknown,Cliff Bole,Teleplay by: Jeanne Carrigan-Fauci & Lisa Rich Story by: Roger Eschbacher & Jaq Greenspon,"September?27,?1993?(1993-09-27)",12.2[8],153,1
92608,92608,24648,"""interface"" 14 53 stop your descent and prepare to disengage the interface.",star trek: act five continued: picard,154.0,255.txt,"['Interface', '14', '53', 'Stop', 'descent', 'prepare', 'disengage', 'interface']","['Interfac', '14', '53', 'Stop', 'descent', 'prepar', 'disengag', 'interfac']","['Interfac', '14', '53', 'Stop', 'descent', 'prepar', 'disengag', 'interfac']",8.0,-0.29600000000000004,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",3,155,3,"""Interface""",47215.5,Robert Wiemer,Joe Menosky,"October?4,?1993?(1993-10-04)",11.7[8],154,1
92776,92776,73694,there shouldn't be a problem going higher the safety override will kick in at ninetyeight percent tolerance and disengage the interface.,riker,154.0,255.txt,"['There', 'shouldnt', 'problem', 'going', 'higher', 'safety', 'override', 'kick', 'ninetyeight', 'percent', 'tolerance', 'disengage', 'interface']","['There', 'shouldnt', 'problem', 'go', 'higher', 'safeti', 'overrid', 'kick', 'ninetyeight', 'percent', 'toler', 'disengag', 'interfac']","['There', 'shouldnt', 'problem', 'go', 'higher', 'safeti', 'overrid', 'kick', 'ninetyeight', 'percent', 'toler', 'disengag', 'interfac']",13.0,0.3089,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",3,155,3,"""Interface""",47215.5,Robert Wiemer,Joe Menosky,"October?4,?1993?(1993-10-04)",11.7[8],154,1
94225,94225,57014,"(continuing, to con officer) set course for the hyralan sector and engage at warp nine.",worf,156.0,257.txt,"['continuing', 'Con', 'Officer', 'Set', 'course', 'Hyralan', 'Sector', 'engage', 'warp', 'nine']","['continu', 'Con', 'Offic', 'Set', 'cours', 'Hyralan', 'Sector', 'engag', 'warp', 'nine']","['continu', 'Con', 'Offic', 'Set', 'cours', 'Hyralan', 'Sector', 'engag', 'warp', 'nine']",10.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],5,157,5,"""Gambit, Part II""",47160.1,Alexander Singer,Teleplay by: Ronald D. Moore Story by: Naren Shankar,"October?18,?1993?(1993-10-18)",12.0[8],156,1
94441,94441,25052,(continuing) engage.9a the stars are static...,picard include viewscreen,157.0,258.txt,"['continuing', 'Engage9A', 'The', 'stars', 'static']","['continu', 'Engage9A', 'The', 'star', 'static']","['continu', 'Engage9A', 'The', 'star', 'static']",5.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,158,6,"""Phantasms""",47225.7,Patrick Stewart,Brannon Braga,"October?25,?1993?(1993-10-25)",12.2[8],157,1
94443,94443,25054,"(continuing, a little louder) engage...",picard,157.0,258.txt,"['continuing', 'little', 'louder', 'Engage']","['continu', 'littl', 'louder', 'Engag']","['continu', 'littl', 'louder', 'Engag']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,158,6,"""Phantasms""",47225.7,Patrick Stewart,Brannon Braga,"October?25,?1993?(1993-10-25)",12.2[8],157,1
94467,94467,25078,ensign russell set course and engage.,picard,157.0,258.txt,"['Ensign', 'Russell', 'set', 'course', 'engage']","['Ensign', 'Russel', 'set', 'cours', 'engag']","['Ensign', 'Russel', 'set', 'cours', 'engag']",5.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",6,158,6,"""Phantasms""",47225.7,Patrick Stewart,Brannon Braga,"October?25,?1993?(1993-10-25)",12.2[8],157,1
95339,95339,48316,introduce yourself to one of them and engage him in conversation they need the practice.,lwaxana,158.0,259.txt,"['introduce', 'one', 'engage', 'conversation', 'need', 'practice']","['introduc', 'one', 'engag', 'convers', 'need', 'practic']","['introduc', 'one', 'engag', 'convers', 'need', 'practic']",6.0,0.0,['lwaxana'],lwaxana troi,Majel Barrett,"['TNG', 'DS9']",lwaxana troi,Federation Ambassador,Betazed,['Ambassador'],Betazoid,"['lwaxana', 'troi']",7,159,7,"""Dark Page""",47254.1,Les Landau,Hilary J. Bader,"November?1,?1993?(1993-11-01)",11.6[8],158,1
96805,96805,25668,(to data) engage shield emitters...,picard,160.0,261.txt,"['Data', 'Engage', 'shield', 'emitters']","['Data', 'Engag', 'shield', 'emitt']","['Data', 'Engag', 'shield', 'emitt']",4.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",9,161,9,"""Force of Nature""",47310.2,Robert Lederman,Naren Shankar,"November?15,?1993?(1993-11-15)",11.9[8],160,1
96811,96811,25674,engage emitters...,picard,160.0,261.txt,"['Engage', 'emitters']","['Engag', 'emitt']","['Engag', 'emitt']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",9,161,9,"""Force of Nature""",47310.2,Robert Lederman,Naren Shankar,"November?15,?1993?(1993-11-15)",11.9[8],160,1
97018,97018,39507,engines disengaged...,data,160.0,261.txt,"['Engines', 'disengaged']","['Engin', 'disengag']","['Engin', 'disengag']",2.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],9,161,9,"""Force of Nature""",47310.2,Robert Lederman,Naren Shankar,"November?15,?1993?(1993-11-15)",11.9[8],160,1
97384,97384,95895,(beat) prepare to engage shield emitters on my mark...,geordi,160.0,261.txt,"['beat', 'Prepare', 'engage', 'shield', 'emitters', 'mark']","['beat', 'Prepar', 'engag', 'shield', 'emitt', 'mark']","['beat', 'Prepar', 'engag', 'shield', 'emitt', 'mark']",6.0,0.0,['geordi'],geordi la forge,LeVar Burton,"['TNG', 'GEN,FCT,INS,NEM', 'VOY']",geordi la forge,Helmsman (S1),USS Enterprise-E,['Lt. Commander'],Human,"['geordi', 'la', 'forge']",9,161,9,"""Force of Nature""",47310.2,Robert Lederman,Naren Shankar,"November?15,?1993?(1993-11-15)",11.9[8],160,1
98536,98536,74357,can you disengage the pulse?,riker,162.0,263.txt,"['Can', 'disengage', 'pulse']","['Can', 'disengag', 'puls']","['Can', 'disengag', 'pul']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",11,163,11,"""Parallels""",47391.2,Robert Wiemer,Brannon Braga,"November?29,?1993?(1993-11-29)",12.8[8],162,1
98786,98786,25851,engage.,picard,163.0,264.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,164,12,"""The Pegasus""",47457.1,LeVar Burton,Ronald D. Moore,"January?10,?1994?(1994-01-10)",11.9[8],163,1
98892,98892,25957,"(to riker) disengage the cloaking device, commander.",picard,163.0,264.txt,"['Riker', 'Disengage', 'cloaking', 'device', 'Commander']","['Riker', 'Disengag', 'cloak', 'devic', 'Command']","['Riker', 'Disengag', 'cloak', 'devic', 'Command']",5.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",12,164,12,"""The Pegasus""",47457.1,LeVar Burton,Ronald D. Moore,"January?10,?1994?(1994-01-10)",11.9[8],163,1
99099,99099,74482,(to con) lay in a course to the next search grid and standby to engage.,riker,163.0,264.txt,"['Con', 'Lay', 'course', 'next', 'search', 'grid', 'standby', 'engage']","['Con', 'Lay', 'cours', 'next', 'search', 'grid', 'standbi', 'engag']","['Con', 'Lay', 'cours', 'next', 'search', 'grid', 'standbi', 'engag']",8.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",12,164,12,"""The Pegasus""",47457.1,LeVar Burton,Ronald D. Moore,"January?10,?1994?(1994-01-10)",11.9[8],163,1
99398,99398,39996,(beat) will attempt to engage additional filtering elements...,data,164.0,265.txt,"['beat', 'attempt', 'engage', 'additional', 'filtering', 'elements']","['beat', 'attempt', 'engag', 'addit', 'filter', 'element']","['beat', 'attempt', 'engag', 'addit', 'filter', 'element']",6.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],13,165,13,"""Homeward""",47423.9,Alexander Singer,Teleplay by: Naren Shankar Story by: Spike Steingasser Based on material by William N. Stape,"January?17,?1994?(1994-01-17)",11.8[8],164,1
99755,99755,26149,mister data disengage the power transfer.,picard,165.0,266.txt,"['Mister', 'Data', 'disengage', 'power', 'transfer']","['Mister', 'Data', 'disengag', 'power', 'transfer']","['Mister', 'Data', 'disengag', 'power', 'transfer']",5.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",14,166,14,"""Sub Rosa""",Unknown,Jonathan Frakes,Teleplay by: Brannon Braga Story by: Jeri Taylor Based on material by Jeanna F. Gallo,"January?31,?1994?(1994-01-31)",11.5[8],165,1
101939,101939,74820,we can't disengage it.,riker,168.0,269.txt,"['We', 'cant', 'disengage']","['We', 'cant', 'disengag']","['We', 'cant', 'disengag']",3.0,0.0,['riker'],william riker,Jonathan Frakes,"['TNG', 'GEN,FCT,INS,NEM', 'VOY', 'ENT']",william riker,"First Officer (S1-7,Movies)",USS Titan,['Captain'],Human,"['william', 'riker']",17,169,17,"""Masks""",47615.2,Robert Wiemer,Joe Menosky,"February?21,?1994?(1994-02-21)",11.8[8],168,1
102140,102140,40361,(off console) the plasma venting system has engaged.4,bridge data ext.,169.0,270.txt,"['console', 'The', 'plasma', 'venting', 'system', 'engaged4']","['consol', 'The', 'plasma', 'vent', 'system', 'engaged4']","['consol', 'The', 'plasma', 'vent', 'system', 'engaged4']",6.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],18,170,18,"""Eye of the Beholder""",47622.1,Cliff Bole,Teleplay by: Ren? Echevarria Story by: Brannon Braga,"February?28,?1994?(1994-02-28)",13.3[8],169,1
102541,102541,57906,after ninety seconds the plasma venting system will engage to prevent degradation of the forcefield.,worf,169.0,270.txt,"['After', 'ninety', 'seconds', 'plasma', 'venting', 'system', 'engage', 'prevent', 'degradation', 'forcefield']","['After', 'nineti', 'second', 'plasma', 'vent', 'system', 'engag', 'prevent', 'degrad', 'forcefield']","['After', 'nineti', 'second', 'plasma', 'vent', 'system', 'engag', 'prevent', 'degrad', 'forcefield']",10.0,0.0258,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],18,170,18,"""Eye of the Beholder""",47622.1,Cliff Bole,Teleplay by: Ren? Echevarria Story by: Brannon Braga,"February?28,?1994?(1994-02-28)",13.3[8],169,1
102970,102970,40389,"her appetite has increased by seven percent, and she is starting to engage in prenatal behavior.",data,170.0,271.txt,"['Her', 'appetite', 'increased', 'seven', 'percent', 'starting', 'engage', 'prenatal', 'behavior']","['Her', 'appetit', 'increas', 'seven', 'percent', 'start', 'engag', 'prenat', 'behavior']","['Her', 'appetit', 'increas', 'seven', 'percent', 'start', 'engag', 'prenat', 'behavior']",9.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],19,171,19,"""Genesis""",47653.2,Gates McFadden,Brannon Braga,"March?21,?1994?(1994-03-21)",11.3[8],170,1
103246,103246,58009,the subspace detonator will not engage.,worf,170.0,271.txt,"['subspace', 'detonator', 'engage']","['subspac', 'deton', 'engag']","['subspac', 'deton', 'engag']",3.0,0.0,['worf'],worf,Michael Dorn,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",worf,Helmsman (TNG S1),USS Enterprise-E,['Lt. Commander'],Klingon,['worf'],19,171,19,"""Genesis""",47653.2,Gates McFadden,Brannon Braga,"March?21,?1994?(1994-03-21)",11.3[8],170,1
104943,104943,27307,"beverly regards him, smiles, shrugs, knowing him well enough not to engage in an argument.",picard,173.0,274.txt,"['Beverly', 'regards', 'smiles', 'shrugs', 'knowing', 'well', 'enough', 'engage', 'argument']","['Beverli', 'regard', 'smile', 'shrug', 'know', 'well', 'enough', 'engag', 'argument']","['Beverli', 'regard', 'smile', 'shrug', 'know', 'well', 'enough', 'engag', 'argument']",9.0,0.2732,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",22,174,22,"""Bloodlines""",47829.1,Les Landau,Nicholas Sagan,"May?2,?1994?(1994-05-02)",11.3[8],173,1
105370,105370,98269,"""bloodlines"" 09 8.8 that would significantly narrow our search; the only cultivated land is on the southern continent, and there are relatively few people engaged in agricultural activities.",star trek: act one continued: data,173.0,274.txt,"['Bloodlines', '09', '88', 'That', 'would', 'significantly', 'narrow', 'search', 'cultivated', 'land', 'southern', 'continent', 'relatively', 'people', 'engaged', 'agricultural', 'activities']","['Bloodlin', '09', '88', 'That', 'would', 'significantli', 'narrow', 'search', 'cultiv', 'land', 'southern', 'contin', 'rel', 'peopl', 'engag', 'agricultur', 'activ']","['Bloodlin', '09', '88', 'That', 'would', 'significantli', 'narrow', 'search', 'cultiv', 'land', 'southern', 'contin', 'rel', 'peopl', 'engag', 'agricultur', 'activ']",17.0,0.0,"['one', 'data']",number one,Majel Barrett,['The Cage'],number one,First Officer,USS Enterprise,['Lt. Commander'],Human,"['number', 'one']",22,174,22,"""Bloodlines""",47829.1,Les Landau,Nicholas Sagan,"May?2,?1994?(1994-05-02)",11.3[8],173,1
105576,105576,40710,and it will not disengage.,data,174.0,275.txt,['disengage'],['disengag'],['disengag'],1.0,0.0,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],23,175,23,"""Emergence""",47869.2,Cliff Bole,Teleplay by: Joe Menosky Story by: Brannon Braga,"May?9,?1994?(1994-05-09)",11.3[8],174,1
105630,105630,40764,that may disengage the nodes without destroying them.,data,174.0,275.txt,"['That', 'may', 'disengage', 'nodes', 'without', 'destroying']","['That', 'may', 'disengag', 'node', 'without', 'destroy']","['That', 'may', 'disengag', 'node', 'without', 'destroy']",6.0,0.431,['data'],data,Brent Spiner,"['TNG', 'GEN,FCT,INS,NEM']",data,Chief Operations Officer,USS Enterprise-E,['Lt. Commander'],Android,['data'],23,175,23,"""Emergence""",47869.2,Cliff Bole,Teleplay by: Joe Menosky Story by: Brannon Braga,"May?9,?1994?(1994-05-09)",11.3[8],174,1
106048,106048,27681,to all maquis ships call off your attack or we will be forced to engage you.,picard,175.0,276.txt,"['To', 'Maquis', 'ships', 'call', 'attack', 'forced', 'engage']","['To', 'Maqui', 'ship', 'call', 'attack', 'forc', 'engag']","['To', 'Maqui', 'ship', 'call', 'attack', 'forc', 'engag']",7.0,-0.4767,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",24,176,24,"""Preemptive Strike""",47941.7,Patrick Stewart,Teleplay by: Ren? Echevarria Story by: Naren Shankar,"May?16,?1994?(1994-05-16)",11.8[8],175,1
106460,106460,107901,standby to engage thrusters ,ro,175.0,276.txt,"['Standby', 'engage', 'thrusters']","['Standbi', 'engag', 'thruster']","['Standbi', 'engag', 'thruster']",3.0,0.0,['ro'],ro laren,Michelle Forbes,['TNG'],ro laren,Helmsman (S5-7),USS Enterprise-D,['Lieutenant'],Bajoran,"['ro', 'laren']",24,176,24,"""Preemptive Strike""",47941.7,Patrick Stewart,Teleplay by: Ren? Echevarria Story by: Naren Shankar,"May?16,?1994?(1994-05-16)",11.8[8],175,1
106998,106998,28213,engage.,picard,176.0,277.txt,['Engage'],['Engag'],['Engag'],1.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,177 178,25 26,"""All Good Things...""",47988,Winrich Kolbe,Ronald D. Moore & Brannon Braga,"May?23,?1994?(1994-05-23)",17.4[8],176,1
107000,107000,28215,"engage to where, sir?",picard,176.0,277.txt,"['Engage', 'sir']","['Engag', 'sir']","['Engag', 'sir']",2.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,177 178,25 26,"""All Good Things...""",47988,Winrich Kolbe,Ronald D. Moore & Brannon Braga,"May?23,?1994?(1994-05-23)",17.4[8],176,1
107002,107002,28217,"set course for the devron system, and engage at warp nine.",picard,176.0,277.txt,"['Set', 'course', 'Devron', 'System', 'engage', 'warp', 'nine']","['Set', 'cours', 'Devron', 'System', 'engag', 'warp', 'nine']","['Set', 'cours', 'Devron', 'System', 'engag', 'warp', 'nine']",7.0,0.0,['picard'],jean-luc picard,Patrick Stewart,"['TNG', 'GEN,FCT,INS,NEM', 'DS9']",jean-luc picard,Commanding officer,USS Enterprise-E,['Captain'],Human,"['jean-luc', 'picard']",25,177 178,25 26,"""All Good Things...""",47988,Winrich Kolbe,Ronald D. Moore & Brannon Braga,"May?23,?1994?(1994-05-23)",17.4[8],176,1
